,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year
917,Pan-american Elementary Charter School,Charter,3001 W Indian School Rd.,Phoenix,Maricopa,85017.0,N,50,100%,100%,100%,100%,96.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
918,Papago School,Public,2013 N 36th St.,Phoenix,Maricopa,85008.0,Y,104,97.10%,97.10%,99.00%,99.00%,86.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
919,Paradise Education Center,Charter,15533 W Paradise Ln.,Surprise,Maricopa,85374.0,Y,168,93.50%,95.20%,94.60%,96.40%,84.50%,5.40%,4.80%,5.40%,3.60%,2.40%,2015
920,Paradise Valley Christian Preparatory,Private,11875 N. 24th St.,Phoenix,Maricopa,85028.0,N,23,78.30%,78.30%,78.30%,82.60%,73.90%,21.70%,21.70%,21.70%,17.40%,21.70%,2015
921,Paragon Science Academy,Charter,2975 W Linda Ln.,Chandler,Maricopa,85224.0,N,43,95.30%,95.30%,95.30%,93.00%,93.00%,4.70%,4.70%,4.70%,7.00%,7.00%,2015
922,Paramount Academy,Charter,11039 W Olive Ave. ,Peoria,Maricopa,85345.0,N,59,98.30%,98.30%,98.30%,98.30%,96.60%,1.70%,1.70%,1.70%,1.70%,0.00%,2015
923,Pardes Jewish Day School,Private,12753 N Scottsdale Rd.,Scottsdale,Maricopa,85254.0,Y,26,96.20%,84.60%,84.60%,80.80%,73.10%,3.80%,11.50%,11.50%,11.50%,11.50%,2015
924,Park Elementary School,Public,P. O. Box 640,Holbrook,Navajo,86025.0,Y,87,97.70%,97.70%,98.90%,98.90%,92.00%,1.10%,1.10%,1.10%,1.10%,1.10%,2015
925,Park Meadows Elementary School,Public,20012 N 35th Ave.,Glendale,Maricopa,85308.0,Y,94,92.60%,94.70%,95.70%,97.90%,89.40%,4.30%,4.30%,4.30%,2.10%,3.20%,2015
926,Parkridge Elementary School,Public,9970 W Beardsley Rd.,Peoria,Maricopa,85382.0,Y,71,97.20%,98.60%,100%,97.20%,90.10%,2.80%,1.40%,0.00%,2.80%,0.00%,2015
927,Parkview Elementary School,Public,15800 N Parkview Pl.,Surprise,Maricopa,85374.0,N,75,86.70%,84.00%,86.70%,94.70%,76.00%,1.30%,2.70%,0.00%,1.30%,0.00%,2015
928,Parkway Children's School,Private,1751 E. Maryland Ave.,Phoenix,Maricopa,85016.0,N,<20,,,,,,,,,,,2015
929,Paseo Hills Elementary,Public,3302 W Louise Dr.,Phoenix,Maricopa,85027.0,Y,112,97.30%,97.30%,98.20%,98.20%,94.60%,2.70%,2.70%,1.80%,1.80%,0.90%,2015
930,Paseo Verde Elementary School,Public,7880 W. Greenway Rd.,Peoria,Maricopa,85381.0,Y,67,92.50%,92.50%,92.50%,94.00%,88.10%,6.00%,6.00%,6.00%,6.00%,6.00%,2015
931,Patagonia Community Montessori School,Charter,500 N 3rd Ave.,Patagonia,Santa Cruz,85624.0,N,<20,,,,,,,,,,,2015
932,Patagonia School Districts,Public,P.O. Box 254,Patagonia,Santa Cruz,85624.0,Y,<20,,,,,,,,,,,2015
933,Pathfinder Academy,Charter,2906 N Boulder Canyon,Mesa,Maricopa,85207.0,N,42,59.50%,59.50%,59.50%,59.50%,50.00%,38.10%,38.10%,38.10%,38.10%,35.70%,2015
934,Pathfinder Academy At Eastmark,Charter,4850 S. Eastmark Pkwy,Mesa,Maricopa,85212.0,N,64,87.50%,85.90%,81.30%,84.40%,75.00%,12.50%,14.10%,17.20%,14.10%,12.50%,2015
935,Patterson Elementary,Public,615 S Cheshire Blvd.,Mesa,Maricopa,85208.0,Y,86,91.90%,91.90%,93.00%,93.00%,88.40%,7.00%,7.00%,7.00%,7.00%,0.00%,2015
936,Patterson Elementary School,Public,1211 E Guadalupe Rd.,Gilbert,Maricopa,85234.0,Y,66,93.90%,95.50%,95.50%,95.50%,80.30%,6.10%,4.50%,4.50%,4.50%,4.50%,2015
937,Paul Dunbar Lawrence School,Public,707 W Grant St.,Phoenix,Maricopa,85006.0,Y,30,86.70%,96.70%,86.70%,96.70%,96.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
938,Paulden Community School,Charter,P.O. Box 940,Paulden,Yavapai,86334.0,N,<20,,,,,,,,,,,2015
939,Payson Christian School,Private,1000 E Frontier St.,Payson,Gila,85541.0,N,<20,,,,,,,,,,,2015
940,Payson Elementary School,Public,P.O. Box 919,Payson,Gila,85547.0,N,157,88.50%,89.20%,89.20%,92.40%,82.20%,11.50%,10.80%,10.80%,7.60%,8.30%,2015
941,Pearce Elementary School District,Public,P.O. Box 979,Pearce,Cochise,85625.0,N,<20,,,,,,,,,,,2015
942,Pecan Grove Elementary School,Public,600 S 21st Ave.,Yuma,Yuma,85364.0,N,38,100%,100%,100%,100%,94.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
943,Pedro Guerrero Elementary,Public,463 S Alma School Rd.,Mesa,Maricopa,85210.0,Y,99,96.00%,96.00%,99.00%,97.00%,82.80%,4.00%,4.00%,1.00%,3.00%,0.00%,2015
944,Pendergast Elementary School,Public,3802 N 91st Ave.,Phoenix,Maricopa,85037.0,N,72,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
945,Peoria Elementary School,Public,11501 N 79th Ave.,Peoria,Maricopa,85345.0,Y,57,94.70%,94.70%,100%,98.20%,91.20%,5.30%,5.30%,0.00%,1.80%,0.00%,2015
946,Peoria Traditional School,Public,21180 N 87th Ave.,Peoria,Maricopa,85382.0,Y,38,94.70%,94.70%,94.70%,100%,94.70%,5.30%,5.30%,5.30%,0.00%,0.00%,2015
947,Peralta Elementary School,Public,7125 W Encanto Blvd.,Phoenix,Maricopa,85035.0,Y,180,100%,100%,100%,100%,47.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
948,Peralta Trail Elementary School,Public,10965 E Peralta Rd.,Gold Canyon,Pinal,85118.0,Y,82,95.10%,93.90%,95.10%,93.90%,95.10%,4.90%,4.90%,4.90%,4.90%,4.90%,2015
949,Percy L Julian School,Public,2149 E Carver Dr.,Phoenix,Maricopa,85040.0,Y,69,97.10%,97.10%,98.60%,98.60%,97.10%,1.40%,1.40%,1.40%,1.40%,1.40%,2015
950,Peridot-our Savior's Lutheran School,Private,Indian Hwy 170,Peridot,Gila,85542.0,N,<20,,,,,,,,,,,2015
951,Phoenix Advantage Charter School,Charter,3738 N. 16th St.,Phoenix,Maricopa,85016.0,Y,42,97.60%,97.60%,97.60%,95.20%,97.60%,2.40%,2.40%,2.40%,4.80%,0.00%,2015
952,Phoenix Christian K-8 School,Private,2425 N 26th St.,Phoenix,Maricopa,85008.0,N,<20,,,,,,,,,,,2015
953,Phoenix Christian Preparatory School,Private,1751 West Indian School Rd.,Phoenix,Maricopa,85015.0,N,<20,,,,,,,,,,,2015
954,Phoenix Country Day School,Private,3901 E. Stanford Dr.,Paradise Valley,Maricopa,85253.0,Y,33,90.90%,90.90%,90.90%,90.90%,81.80%,9.10%,9.10%,9.10%,9.10%,9.10%,2015
955,Phoenix Day School For The Deaf,Public,7654 N 19th Ave.,Phoenix,Maricopa,85021.0,Y,22,95.50%,95.50%,95.50%,95.50%,90.90%,4.50%,4.50%,4.50%,4.50%,4.50%,2015
956,Picacho Elementary School District 33,Public,17865 S. Vail Rd.,Picacho,Pinal,85141.0,N,<20,,,,,,,,,,,2015
957,Pieceful Solutions Charter School,Charter,550 W Warner Rd.,Chandler,Maricopa,85225.0,N,<20,,,,,,,,,,,2015
958,Pilgrim Lutheran School,Private,3257 E University Dr.,Mesa,Maricopa,85213.0,N,<20,,,,,,,,,,,2015
959,Pima Butte Elementary School,Public,42022 W Rancho El Dorado Pkw,Maricopa,Pinal,85239.0,Y,71,95.80%,94.40%,95.80%,95.80%,87.30%,4.20%,5.60%,4.20%,4.20%,4.20%,2015
960,Pima Elementary,Public,101 S Main St. ,Pima,Graham,85543.0,Y,40,87.50%,90.00%,90.00%,92.50%,82.50%,7.50%,7.50%,7.50%,7.50%,7.50%,2015
961,Pima Elementary School,Public,8330 East Osborn Rd.,Scottsdale,Maricopa,85251.0,Y,63,92.10%,92.10%,92.10%,95.20%,88.90%,7.90%,7.90%,7.90%,4.80%,4.80%,2015
962,Pine Forest School,Charter,1120 W Kaibab Ln.,Flagstaff,Coconino,86001.0,N,36,52.80%,50.00%,50.00%,63.90%,36.10%,19.40%,25.00%,22.20%,22.20%,19.40%,2015
963,Pine Spring Day School,Charter,P.O. Box 4198,Houck,Apache,86506.0,N,<20,,,,,,,,,,,2015
964,Pine Strawberry Elementary School,Public,3868 N Pine Creek Dr.,Pine,Gila,85544.0,N,<20,,,,,,,,,,,2015
965,Pinnacle Peak Elementary,Public,7690 E Williams Dr.,Scottsdale,Maricopa,85255.0,Y,76,92.10%,96.10%,94.70%,92.10%,94.70%,7.90%,3.90%,5.30%,7.90%,3.90%,2015
966,Pinnacle Pointe Academy,Charter,6753 W Pinnacle Peak Rd.,Glendale,Maricopa,85310.0,N,49,95.90%,91.80%,89.80%,98.00%,89.80%,4.10%,8.20%,10.20%,2.00%,2.00%,2015
967,"Pinon Community School Board, Inc.",Private,P.O. Box 159,Pinon,Navajo,86510.0,N,45,100%,100%,100%,100%,97.80%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
968,Pinon Elementary School,Public,Navajo Hwy 41,Pinon,Navajo,86510.0,Y,75,98.70%,100%,94.70%,98.70%,94.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
969,Pioneer Elementary,Public,6315 W. Port Au Prince Ln.,Glendale,Maricopa,85306.0,Y,26,92.30%,92.30%,92.30%,92.30%,92.30%,7.70%,7.70%,7.70%,7.70%,3.80%,2015
970,Pioneer Elementary School,Public,1535 N Greenfield Rd.,Gilbert,Maricopa,85234.0,Y,73,95.90%,95.90%,94.50%,95.90%,75.30%,4.10%,4.10%,5.50%,4.10%,5.50%,2015
971,Pioneer Preparatory - A Challenge Foundat,Charter,6510 W Clarendon Ave.,Phoenix,Maricopa,85308.0,N,69,100%,100%,100%,100%,98.60%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
972,Playa Del Rey Elementary School,Public,550 N Horne St. ,Gilbert,Maricopa,85233.0,Y,69,91.30%,92.80%,94.20%,98.60%,82.60%,8.70%,7.20%,5.80%,1.40%,1.40%,2015
973,Plc Arts Academy At Scottsdale,Charter,6140 E. Thunderbird Rd.,Scottsdale,Maricopa,85254.0,N,<20,,,,,,,,,,,2015
974,Pomerene Elementary School,Public,P.O. Box 7,Pomerene,Cochise,85627.0,N,<20,,,,,,,,,,,2015
975,Pomeroy Elementary School,Public,1507 W Shawnee Dr.,Chandler,Maricopa,85224.0,Y,102,94.10%,94.10%,94.10%,95.10%,85.30%,3.90%,3.90%,3.90%,3.90%,3.90%,2015
976,Porfirio H. Gonzales Elementary School,Public,9401 W. Garfield St.,Tolleson,Maricopa,85353.0,Y,92,92.40%,97.80%,90.20%,94.60%,98.90%,2.20%,2.20%,1.10%,2.20%,1.10%,2015
977,Porter Elementary School,Public,1350 S Lindsay Rd. ,Mesa,Maricopa,85205.0,Y,66,98.50%,100%,100%,100%,93.90%,1.50%,0.00%,0.00%,0.00%,0.00%,2015
978,Power Ranch Elementary School,Public,4351 South Ranch House Pkwy,Gilbert,Maricopa,85297.0,N,84,96.40%,97.60%,97.60%,97.60%,84.50%,3.60%,2.40%,2.40%,2.40%,2.40%,2015
979,Prescott Valley Chater School,Charter,P.O. Box  27348,Prescott Valley,Yavapai,86312.0,N,45,77.80%,82.20%,82.20%,84.40%,82.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2015
980,Presidio School,Charter,1695 E. Ft. Lowell Rd. ,Tucson,Pima,85719.0,N,37,91.90%,91.90%,91.90%,91.90%,78.40%,8.10%,8.10%,8.10%,8.10%,8.10%,2015
981,Primavera School,Private,1446 Moyer Rd.,Prescott,Yavapai,86303.0,N,<20,,,,,,,,,,,2015
982,Primrose Of Arrowhead,Private,7619 West Thunderbird Rd.,Peoria,Maricopa,85381.0,N,<20,,,,,,,,,,,2015
983,Prince Elementary,Public,125 E Prince Rd.,Tucson,Pima,85705.0,N,106,98.10%,94.30%,94.30%,96.20%,86.80%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
984,Pueblo Del Sol Elementary,Public,5130 Paseo Las Palmas,Sierra Vista,Cochise,85635.0,Y,89,94.40%,94.40%,95.50%,95.50%,93.30%,5.60%,5.60%,4.50%,4.50%,0.00%,2015
985,Pueblo Del Sol Middle School,Public,3449 N 39th Ave.,Phoenix,Maricopa,85019.0,Y,82,96.30%,97.60%,96.30%,100%,95.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
986,Pueblo Elementary School,Public,2803 W 20th St.,Yuma,Yuma,85364.0,N,55,100%,100%,100%,100%,98.20%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
987,Pueblo Elementary School Scottsdale Arizona,Public,6320 N 82nd St.,Scottsdale,Maricopa,85250.0,Y,87,94.30%,95.40%,95.40%,95.40%,79.30%,4.60%,4.60%,4.60%,4.60%,4.60%,2015
988,Pueblo Gardens,Public,2210 E. 23rd St. ,Tucson,Pima,85713.0,Y,39,97.40%,97.40%,97.40%,97.40%,94.90%,0.00%,2.60%,2.60%,2.60%,2.60%,2015
989,Quail Run Elementary,Public,4600 W Cortaro Farms Rd.,Tucson,Pima,85742.0,N,75,97.30%,98.70%,97.30%,98.70%,98.70%,2.70%,1.30%,2.70%,1.30%,1.30%,2015
990,Quail Run Elementary School,Public,3303 E. Utopia Rd.,Phoenix,Maricopa,85050.0,Y,114,91.20%,89.50%,93.90%,91.20%,86.00%,8.80%,10.50%,6.10%,8.80%,5.30%,2015
991,Quality Interactive Montessori @ Spur Cross,Private,38424 N Spur Cross Rd.,Cave Creek,Maricopa,85331.0,N,<20,,,,,,,,,,,2015
992,Quartz Hill Elementary,Public,3680 S Quartz St.,Gilbert,Maricopa,85297.0,N,83,95.20%,96.40%,96.40%,96.40%,97.60%,4.80%,3.60%,3.60%,3.60%,2.40%,2015
993,Quartzsite Elementary School,Public,930 Quail Trl.,Quartzsite,La Paz,85334.0,N,<20,,,,,,,,,,,2015
994,Queen Creek Elementary School,Public,23636 South 204th St.,Queen Creek,Maricopa,85242.0,Y,108,95.40%,95.40%,92.60%,93.50%,84.30%,4.60%,4.60%,4.60%,5.60%,3.70%,2015
995,Queen Of Peace Catholic School,Private,141 N. Macdonald Rd. ,Mesa,Maricopa,85201.0,N,31,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
996,Quentin Elementary,Public,11050 W Whyman Ave.,Avondale,Maricopa,85323.0,Y,90,98.90%,98.90%,98.90%,100%,90.00%,1.10%,1.10%,1.10%,0.00%,0.00%,2015
997,Rainbow Valley Elementary,Public,19716 W Narramore Rd. ,Buckeye,Maricopa,85326.0,N,57,78.90%,80.70%,80.70%,86.00%,89.50%,5.30%,5.30%,3.50%,5.30%,3.50%,2015
998,Ralph Waldo Emerson Elementary School,Public,915 E Palm Ln.,Phoenix,Maricopa,85006.0,Y,58,100%,100%,98.30%,100%,96.60%,0.00%,0.00%,1.70%,0.00%,0.00%,2015
999,Ranch Elementary School,Public,43521 N. Kenworthy Rd.,San Tan Valley,Pinal,85140.0,N,57,91.20%,91.20%,91.20%,94.70%,80.70%,8.80%,8.80%,8.80%,5.30%,7.00%,2015
1000,Rancho Gabriela Elementary School,Public,15272 W Gabriela Dr.,Surprise,Maricopa,85379.0,Y,63,100%,100%,100%,100%,98.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1001,Rancho Santa Fe Elementary School,Public,2150 Rancho Santa Fe Blvd.,Avondale,Maricopa,85340.0,Y,118,91.50%,92.40%,93.20%,93.20%,82.20%,6.80%,5.90%,5.10%,5.90%,5.90%,2015
1002,Rancho Solano Preparatory School,Private,5656 E Greenway Rd.,Scottsdale,Maricopa,85254.0,Y,29,93.10%,86.20%,86.20%,93.10%,82.80%,6.90%,13.80%,13.80%,6.90%,6.90%,2015
1003,Rancho Viejo Elementary School,Public,1020 Avenue C,Yuma,Yuma,85364.0,Y,<20,,,,,,,,,,,2015
1004,Rattlesnake Ridge Elementary,Public,8500 N Continental Reserve Loop,Tucson,Pima,85743.0,Y,68,100%,100%,100%,100%,82.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1005,Raul Grijalva Elementary,Public,1795 West Drexel Rd.,Tucson,Pima,85746.0,Y,109,98.20%,99.10%,99.10%,99.10%,90.80%,0.90%,0.90%,0.90%,0.90%,1.80%,2015
1006,Ray Elementary School,Public,P.O. Box 427,Kearny,Pinal,85137.0,Y,30,96.70%,96.70%,96.70%,100%,90.00%,3.30%,3.30%,3.30%,0.00%,0.00%,2015
1007,"Red Earth Waldorf Kindergarten, Inc",Private,480 Coffee Pot Dr. ,Sedona,Yavapai,86336.0,N,<20,,,,,,,,,,,2015
1008,Red Mesa Unified School District,Public,Hc 61 Hyw160,Teec Nos Pos,Apache,86514.0,N,<20,,,,,,,,,,,2015
1009,Red Mountain Ranch - Kids Corner/ Preschool,Public,6650 East Raftriver St.,Mesa,Maricopa,85215.0,Y,74,95.90%,94.60%,97.30%,97.30%,93.20%,2.70%,2.70%,2.70%,2.70%,2.70%,2015
1010,Red Rock Elementary School,Public,P.O.. Box 1010,Red Rock,Pinal,85145.0,N,40,97.50%,97.50%,97.50%,97.50%,97.50%,2.50%,2.50%,2.50%,2.50%,2.50%,2015
1011,Redbird Elementary School,Public,1020 S Extension Rd. ,Mesa,Maricopa,85210.0,Y,71,98.60%,98.60%,98.60%,100%,98.60%,1.40%,1.40%,1.40%,0.00%,0.00%,2015
1012,Redeemer Christian School,Private,719 N Stapley Dr.,Mesa,Maricopa,85203.0,N,<20,,,,,,,,,,,2015
1013,Redeemer Lutheran School,Private,8845 N. Silverbell Rd.,Tucson,Pima,85743.0,N,<20,,,,,,,,,,,2015
1014,Redfield Elementary School,Public,9181 E Redfield Rd.,Scottsdale,Maricopa,85260.0,Y,50,88.00%,90.00%,88.00%,88.00%,68.00%,12.00%,10.00%,12.00%,12.00%,4.00%,2015
1015,Reed Montessori Preschool,Private,909 North 1st St.,Phoenix,Maricopa,85004.0,N,<20,,,,,,,,,,,2015
1016,Resurrection Lutheran Child Development C,Private,11575 N 1st Ave.,Oro Valley,Pima,85737.0,N,<20,,,,,,,,,,,2015
1017,Reyes Maria Ruiz Leadership Academy,Charter,4848 S 2nd St.,Phoenix,Maricopa,85040.0,N,77,93.50%,90.90%,92.20%,98.70%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1018,Richard B Wilson Jr School,Public,2330 W Glover Rd.,Tucson,Pima,85742.0,Y,74,100%,100%,100%,100%,95.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1019,Richard E. Miller School,Public,2021 W. Alice Ave.,Phoenix,Maricopa,85387.0,N,105,99.00%,99.00%,100%,99.00%,93.30%,1.00%,1.00%,0.00%,1.00%,0.00%,2015
1020,Richardson Elementary,Public,6901 N Camino De La Tierra,Tucson,Pima,85741.0,N,45,100%,100%,100%,100%,95.60%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1021,Ridgeline Academy,Charter,33625 N North Valley Pkwy,Phoenix,Maricopa,85085.0,N,90,90.00%,88.90%,85.60%,87.80%,81.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1022,Riggs Elementary,Public,6930 S. Seville Blvd.,Gilbert,Maricopa,85852.0,N,111,92.80%,91.90%,92.80%,92.80%,74.80%,7.20%,8.10%,7.20%,7.20%,7.20%,2015
1023,Rillito Center,Public,266 E. Pastime Rd. ,Tucson,Pima,85705.0,Y,<20,,,,,,,,,,,2015
1024,Rio Colorado Elementary,Public,P.O. Box 6870,San Luis,Yuma,85349.0,Y,48,100%,100%,100%,100%,87.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1025,Rio Vista  Elementary,Public,1351 E. Limberlost Dr. ,Tucson,Pima,85719.0,N,72,98.60%,98.60%,98.60%,98.60%,98.60%,1.40%,1.40%,1.40%,1.40%,1.40%,2015
1026,Rio Vista School,Public,10237 West Encanto Blvd.,Avondale,Maricopa,85392.0,N,66,95.50%,97.00%,97.00%,97.00%,87.90%,3.00%,3.00%,3.00%,3.00%,3.00%,2015
1027,Riverbend Prep,Charter,5625 S 51st Ave.,Laveen,Maricopa,85339.0,N,50,92.00%,92.00%,92.00%,92.00%,92.00%,8.00%,8.00%,8.00%,8.00%,8.00%,2015
1028,Riverview School,Public,12701 N Main St.,El Mirage,Maricopa,85335.0,N,97,92.80%,87.60%,58.80%,92.80%,55.70%,3.10%,3.10%,3.10%,3.10%,3.10%,2015
1029,Riviera Elementary,Public,5102 S Cherry Ave.,Tucson,Pima,85706.0,Y,73,100%,100%,100%,100%,91.80%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1030,Roadrunner Elementary School (Marana),Public,16651 W Calle Carmela,Marana,Pima,85653.0,N,57,96.50%,96.50%,98.20%,98.20%,93.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1031,Roadrunner Elementary School (Phoenix),Public,7702 N 39th Ave.,Phoenix,Maricopa,85051.0,N,93,97.80%,97.80%,97.80%,97.80%,95.70%,2.20%,2.20%,2.20%,2.20%,0.00%,2015
1032,Roadrunner School,Public,3540 E. Cholla St. ,Phoenix,Maricopa,85028.0,Y,<20,,,,,,,,,,,2015
1033,Robert And Danell Tarwater Elementary,Public,2300 S Gardner Dr.,Chandler,Maricopa,85286.0,N,139,92.80%,93.50%,92.80%,95.00%,94.20%,7.20%,6.50%,7.20%,5.00%,0.00%,2015
1034,Robert Bracker Elementary,Public,121 Camino Diez Mandamientos,Nogales,Santa Cruz,85621.0,Y,28,100%,100%,100%,100%,92.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1035,Robins Elementary School,Public,3939 N Magnetite Ln.,Tucson,Pima,85745.0,N,63,100%,100%,100%,100%,92.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1036,Robison Elementary School,Public,2745 E 18th St.,Tucson,Pima,85716.0,Y,40,100%,100%,100%,100%,92.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1037,"Robles Elementary, Avsd",Public,9875 S Sasabe Rd.,Tucson,Pima,85736.0,Y,61,98.40%,98.40%,98.40%,98.40%,88.50%,1.60%,1.60%,1.60%,1.60%,1.60%,2015
1038,Robson Elementary School,Public,2122 E Pueblo Ave.,Mesa,Maricopa,85204.0,Y,100,94.00%,96.00%,97.00%,98.00%,87.00%,3.00%,3.00%,3.00%,2.00%,4.00%,2015
1039,Rogers Ranch School,Public,6735 S 47th Ave.,Laveen,Maricopa,85339.0,N,107,98.10%,99.10%,100%,99.10%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1040,Ronald Reagan School,Public,3200 West 16th St.,Yuma,Yuma,85364.0,N,80,98.80%,98.80%,97.50%,98.80%,88.80%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1041,Roosevelt Elementary School (Mesa),Public,828 S Valencia,Mesa,Maricopa,85202.0,Y,92,92.40%,94.60%,91.30%,95.70%,84.80%,7.60%,5.40%,8.70%,4.30%,0.00%,2015
1042,Roosevelt Elementary School (Yuma),Public,550 W 5th St.,Yuma,Yuma,85364.0,N,37,97.30%,97.30%,97.30%,97.30%,97.30%,2.70%,2.70%,2.70%,2.70%,2.70%,2015
1043,Roskruge Bilingual Magnet School,Public,501 E. 6th St.,Tucson,Pima,85705.0,Y,51,98.00%,98.00%,100%,100%,96.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1044,Rough Rock Community Schools,Public,Hc 61 Box 5050-ptt,Chinle,Apache,86503.0,Y,37,75.70%,78.40%,78.40%,86.50%,78.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1045,Round Valley Elementary,Public,P.O. Box 610,Springerville,Apache,85936.0,N,111,90.10%,89.20%,89.20%,91.90%,87.40%,4.50%,4.50%,6.30%,5.40%,5.40%,2015
1046,Rover Elementary School,Public,1300 E Watson Dr.,Tempe,Maricopa,85283.0,Y,93,94.60%,94.60%,94.60%,93.50%,94.60%,5.40%,5.40%,5.40%,6.50%,5.40%,2015
1047,Rudy G Bologna Elementary School ,Public,1625 East Frye Rd.,Chandler,Maricopa,85225.0,N,70,100%,100%,98.60%,100%,94.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1048,Ruth Fisher Elementary School,Public,38201 W Indian School Rd.,Tonopah,Maricopa,85354.0,N,64,92.20%,89.10%,90.60%,95.30%,75.00%,1.60%,1.60%,1.60%,1.60%,1.60%,2015
1049,Ruth Powell School,Public,714 11th Ave.,Safford,Graham,85546.0,Y,75,94.70%,94.70%,94.70%,93.30%,94.70%,1.30%,1.30%,2.70%,1.30%,1.30%,2015
1050,Sabis International School,Charter,1903 East Roeser Rd.,Phoenix,Maricopa,85040.0,Y,108,100%,100%,100%,100%,94.40%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1051,Sacaton Elementary School,Public,150 Skill Center Rd. ,Sacaton,Pinal,85247.0,Y,68,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1052,Sacred Heart Catholic School,Private,207 W. Oak St.,Nogales,Santa Cruz,85621.0,N,22,95.50%,95.50%,95.50%,95.50%,95.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1053,Sacred Heart Elementary School,Private,131 N Summit Ave.,Prescott,Yavapai,86301.0,Y,<20,,,,,,,,,,,2015
1054,Saddleback Elementary School,Public,18600 North Porter Rd.,Maricopa,Pinal,85138.0,Y,68,100%,100%,100%,100%,95.60%,0.00%,0.00%,0.00%,0.00%,1.50%,2015
1055,Safford Elementary School,Public,200 E 13th St.,Tucson,Pima,85701.0,Y,33,100%,97.00%,100%,97.00%,90.90%,0.00%,3.00%,0.00%,3.00%,0.00%,2015
1056,Sage Academy Charter School,Charter,1055 E Hearn Rd.,Phoenix,Maricopa,85022.0,N,39,69.20%,79.50%,66.70%,82.10%,61.50%,30.80%,20.50%,33.30%,17.90%,20.50%,2015
1057,Saguaro Elementary School,Public,1501 N Center Ave.,Casa Grande,Pinal,85222.0,Y,83,94.00%,96.40%,96.40%,98.80%,92.80%,2.40%,2.40%,2.40%,1.20%,0.00%,2015
1058,Saguaro Hills S.d.a. Christian School,Private,4280 W. Irvington Rd.,Tucson,Pima,85746.0,N,<20,,,,,,,,,,,2015
1059,Sahuarita Primary School,Public,350 W Sahuarita Rd.,Sahuarita,Pima,85629.0,N,214,97.20%,97.70%,98.10%,98.10%,88.80%,1.40%,0.90%,0.90%,0.90%,1.40%,2015
1060,Sahuaro Elementary School,Public,12835 N 33rd Ave.,Phoenix,Maricopa,85029.0,N,93,97.80%,98.90%,100%,98.90%,95.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1061,Sahuaro Ranch Elementary School,Public,10401 N 63rd Ave.,Glendale,Maricopa,85302.0,Y,44,95.50%,97.70%,95.50%,95.50%,97.70%,2.30%,2.30%,2.30%,2.30%,2.30%,2015
1062,Saint (St)  Ambrose Elementary And Junior High,Private,300 S Tucson Blvd.,Tucson,Pima,85716.0,N,37,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
1063,Saint (St)  Andrew's Kindergarten,Private,7650 N Paseo Del Norte,Tucson,Pima,85704.0,N,35,97.10%,97.10%,94.30%,85.70%,82.90%,2.90%,2.90%,5.70%,14.30%,2.90%,2015
1064,Saint (St)  Anthony Catholic School,Private,1400 E Owens,Show Low,Navajo,85901.0,N,<20,,,,,,,,,,,2015
