SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MCMVC,PCT_EXEMPT_MCMVC,PCT_COMPLIANCE_MCMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
GALVESTON ELEMENTARY SCHOOL,661 E GALVESTON ST,CHANDLER,MARICOPA,85225,NO,,PUBLIC,80,100%,0%,100%,95%,1%,100%,95%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
GANADO MIDDLE SCHOOL,HWY 264,GANADO,APACHE,86505,NO,,PUBLIC,108,100%,0%,100%,95%,0%,96%,95%,0%,96%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
GARDEN LAKES ELEMENTARY SCHOOL,10825 W GARDEN LAKES PKWY,AVONDALE,MARICOPA,85392,YES,LPN,PUBLIC,106,94%,6%,100%,94%,6%,100%,92%,8%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,100%,0%,100%,7%,2%,4%
GARY A KNOX ELEMENTARY,2926 S 21ST DR,YUMA,YUMA,85364,NO,,PUBLIC,87,100%,0%,100%,97%,1%,99%,97%,1%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,1%
GATEWAY POINTE ELEMENTARY,2069 S DELATORRE DR,HIGLEY,MARICOPA,85236,NO,,PUBLIC,129,96%,2%,100%,88%,6%,96%,85%,8%,96%,96%,2%,100%,97%,3%,100%,98%,2%,100%,98%,2%,100%,6%,2%,6%
GATEWAY POLYTECHNIC ACADEMY,5149 S SIGNAL BUTTE RD,MESA,MARICOPA,85212,NO,,PUBLIC,91,98%,2%,100%,99%,1%,100%,96%,3%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,4%,0%,1%
GATEWAY SCHOOL,1100 N 35TH ST,PHOENIX,MARICOPA,85008,YES,RN,PUBLIC,75,100%,0%,100%,99%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
GAVILAN PEAK ELEMENTARY,2701 W MEMORIAL DR,ANTHEM,MARICOPA,85086,YES,RN,PUBLIC,79,96%,4%,100%,96%,4%,100%,94%,4%,97%,95%,4%,99%,94%,4%,97%,99%,0%,99%,97%,3%,100%,5%,3%,3%
GEORGE WASHINGTON ACADEMY,1945 S 1ST EAST,SNOWFLAKE,NAVAJO,,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GEORGE WASHINGTON CARVER ELEMENTARY SCHOOL,1341 5TH ST,YUMA,YUMA,85364,YES,RN,PUBLIC,69,100%,0%,100%,97%,0%,100%,67%,0%,67%,100%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,0%,0%,0%
GILA CROSSING COMMUNITY SCHOOL,4408 W PECOS RD,LAVEEN,MARICOPA,85339,YES,RN,PUBLIC,59,100%,0%,100%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
GILA VISTA JR HIGH SCHOOL,2245 ARIZONA AVE,YUMA,YUMA,85364,NO,,PUBLIC,155,99%,1%,100%,96%,1%,99%,95%,1%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,97%,3%,100%,1%,0%,1%
GILBERT ARTS ACADEMY,862 E ELLIOT RD,GILBERT,MARICOPA,85234,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GILBERT CHRISTIAN ELEMENTARY & MIDDLE SCHOOL,1424 S PROMENADE LN,GILBERT,MARICOPA,85296,NO,,PRIVATE,60,92%,8%,100%,92%,8%,100%,85%,15%,100%,87%,13%,100%,88%,12%,100%,90%,10%,100%,90%,10%,100%,17%,0%,8%
GILBERT CHRISTIAN SCHOOLS - GREENFIELD,4341 S. GREENFIELD RD,GILBERT,MARICOPA,85297,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GILBERT ELEMENTARY SCHOOL,175 W ELLIOT RD,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,73,96%,4%,100%,96%,0%,99%,95%,3%,99%,96%,4%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,8%,0%,3%
GILILLAND MIDDLE SCHOOL,1025 S BECK AVE,TEMPE,MARICOPA,85281,YES,RN,PUBLIC,322,99%,0%,100%,95%,2%,100%,95%,2%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,2%,0%,0%
GLADDEN FARMS ELEMENTARY SCHOOL,11745 W GLADDEN FARMS DR.,MARANA,PIMA,85653,YES,RN,PUBLIC,88,99%,1%,100%,98%,2%,100%,97%,2%,99%,99%,1%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
GLENDALE AMERICAN SCHOOL,8530 N 55TH AVE,GLENDALE,MARICOPA,85302,NO,,PUBLIC,70,97%,0%,97%,90%,0%,90%,90%,0%,90%,99%,0%,99%,97%,0%,97%,96%,0%,96%,99%,0%,99%,6%,0%,0%
GLENDALE LANDMARK MIDDLE SCHOOL,5730 W MYRTLE AVE,GLENDALE,MARICOPA,85301,YES,LPN,PUBLIC,91,100%,0%,100%,99%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
GLENDALE PREPARATORY ACADEMY,23276 N. 83RD AVE,PEORIA,MARICOPA,85383,YES,Both,CHARTER,101,97%,3%,100%,91%,8%,100%,91%,8%,100%,97%,3%,100%,96%,4%,100%,95%,5%,100%,96%,4%,100%,11%,1%,3%
GLENN F BURTON SCHOOL,4801 W MARYLAND AVE,GLENDALE,MARICOPA,85301,YES,LPN,PUBLIC,90,97%,0%,97%,99%,0%,99%,99%,0%,99%,99%,0%,99%,99%,0%,99%,99%,0%,99%,99%,0%,99%,0%,0%,0%
GLENN L DOWNS SCHOOL,3611 N 47TH AVE,PHOENIX,MARICOPA,85031,YES,RN,PUBLIC,90,99%,1%,100%,94%,1%,96%,94%,1%,96%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
GLENVIEW ADVENTIST SCHOOL,6801 N 43RD AVE,PHOENIX,MARICOPA,85019,YES,RN,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GOWAN SCIENCE ACADEMY,1590 S AVENUE C,YUMA,YUMA,85364,NO,,PUBLIC,60,100%,0%,100%,95%,0%,100%,95%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
GRACE CHRISTIAN ACADEMY,1200 EAST SOUTHERN AVENUE,TEMPE,MARICOPA,85282,YES,RN,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GRANADA EAST SCHOOL,3022 W CAMPBELL AVE,PHOENIX,MARICOPA,85017,YES,LPN,PUBLIC,241,100%,0%,100%,95%,0%,97%,94%,0%,96%,100%,0%,100%,100%,0%,100%,99%,0%,100%,99%,0%,100%,0%,0%,0%
GRAND CANYON ELEMENTARY,1 BOULDER ST,GRAND CANYON,COCONINO,86023,NO,,PUBLIC,24,96%,0%,96%,96%,0%,96%,96%,0%,100%,88%,0%,88%,96%,0%,96%,88%,0%,88%,100%,0%,100%,0%,0%,0%
GRANDE INNOVATION ACADEMY,950 N. PEART RD,CASA GRANDE,PINAL,85122,NO,,CHARTER,52,96%,4%,100%,69%,0%,73%,65%,4%,73%,94%,4%,98%,94%,4%,98%,96%,4%,100%,94%,0%,94%,4%,0%,4%
GRANITE MOUNTAIN MIDDLE SCHOOL,1800 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,,YES,RN,PUBLIC,289,97%,3%,100%,91%,9%,100%,90%,9%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,8%,0%,3%
GRANVILLE ELEMENTARY,5350 STOVER DR,PRESCOTT VALLEY,YAVAPAI,86314,NO,,PUBLIC,89,98%,2%,100%,79%,4%,84%,79%,4%,84%,98%,2%,100%,97%,3%,100%,98%,2%,100%,96%,4%,100%,3%,2%,2%
GRAYHAWK ELEMENTARY SCHOOL,7525 E GRAYHAWK DR,SCOTTSDALE,MARICOPA,85255,YES,RN,PUBLIC,90,96%,4%,100%,88%,2%,98%,86%,4%,98%,98%,2%,100%,98%,2%,100%,99%,0%,99%,98%,2%,100%,3%,1%,0%
GREAT EXPECTATIONS ACADEMY,1466 W CAMINO ANTIGUA,SAHUARITA,PIMA,85629,NO,,CHARTER,37,92%,8%,100%,73%,11%,89%,73%,11%,89%,92%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,11%,0%,8%
GREAT HEART ACADEMIES - CENTRAL SCOTTSDALE PREPARATORY,7205 N PIMA RD,SCOTTSDALE,MARICOPA,85258,YES,RN,CHARTER,139,95%,5%,100%,88%,9%,100%,89%,9%,100%,93%,7%,100%,94%,6%,100%,93%,7%,100%,95%,5%,100%,9%,2%,5%
GREAT HEART ACADEMIES ARCHWAY LINCOLN,2250 S GILBERT RD,CHANDLER,MARICOPA,,NO,,CHARTER,116,94%,3%,97%,91%,6%,100%,86%,11%,100%,93%,7%,100%,94%,6%,100%,92%,8%,100%,94%,6%,100%,11%,1%,3%
GREAT HEARTS ACADEMIES - ARETE PREPARATORY ACADEMY,4525 E BASELINE RD,MESA,MARICOPA,85234,YES,RN,CHARTER,99,94%,6%,100%,83%,13%,100%,80%,16%,100%,92%,8%,100%,91%,9%,100%,94%,6%,100%,93%,7%,100%,17%,0%,4%
GREAT HEARTS ACADEMY - CICERO PREPARATORY ACADEMY,7205 N PIMA RD,SCOTTSDALE,MARICOPA,85250,YES,RN,CHARTER,101,97%,3%,100%,91%,3%,97%,89%,5%,97%,97%,3%,100%,96%,4%,100%,95%,5%,100%,97%,3%,100%,6%,0%,3%
GREENBRIER ELEMENTARY SCHOOL,6150 W GREENBRIER DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,48,92%,8%,100%,90%,10%,100%,90%,10%,100%,94%,6%,100%,96%,4%,100%,92%,8%,100%,94%,6%,100%,13%,0%,13%
GRIFFITH ELEMENTARY SCHOOL,4505 E PALM LN,PHOENIX,MARICOPA,85008,NO,,PUBLIC,59,98%,2%,100%,86%,0%,90%,85%,2%,90%,98%,2%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,3%,3%,3%
H L SUVERKRUP ELEMENTARY SCHOOL,1590 S AVENUE C,YUMA,YUMA,85364,NO,,PUBLIC,60,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
H.U.S.D. - CHAPARRAL ELEMENTARY,3380 EAST FRYE ROAD,GILBERT,MARICOPA,85295,NO,,PUBLIC,135,99%,1%,100%,92%,7%,100%,92%,7%,100%,98%,2%,100%,97%,3%,100%,99%,1%,100%,98%,2%,100%,7%,0%,1%
H.U.S.D. - CORTINA ELEMENTARY SCHOOL,19680 SOUTH 188TH STREET,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,146,97%,3%,100%,94%,5%,99%,92%,6%,99%,97%,3%,100%,97%,3%,100%,98%,2%,100%,98%,2%,100%,7%,0%,2%
H.U.S.D. - HIGLEY TRADITIONAL ACADEMY,3391 EAST VEST AVENUE,GILBERT,MARICOPA,85295,NO,,PUBLIC,88,99%,1%,100%,93%,3%,100%,93%,3%,100%,98%,1%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,3%,3%,1%
H.U.S.D. - SAN TAN ELEMENTARY SCHOOL,3443 EAST GALISTOGA DRIVE,GILBERT,MARICOPA,85297,NO,,PUBLIC,116,99%,1%,100%,98%,1%,100%,98%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,2%,0%,1%
HALE ELEMENTARY SCHOOL,1425 N 23RD ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,82,99%,1%,100%,95%,2%,100%,95%,2%,100%,98%,2%,100%,98%,2%,100%,98%,1%,100%,99%,1%,100%,2%,0%,1%
HALEY ELEMENTARY,3401 S LAYTON LAKES,CHANDLER,MARICOPA,85286,NO,,PUBLIC,125,95%,5%,100%,91%,6%,100%,90%,7%,100%,95%,5%,100%,95%,5%,100%,94%,6%,100%,94%,6%,100%,9%,0%,2%
HAPPY VALLEY SCHOOL,7140 W HAPPY VALLEY RD,PEORIA,MARICOPA,,YES,LPN,CHARTER,50,98%,2%,100%,92%,6%,100%,92%,6%,100%,98%,2%,100%,94%,6%,100%,96%,4%,100%,98%,2%,100%,6%,4%,2%
HAPPY VALLEY SCHOOL - EAST CAMPUS,"22721 S ELLSWORTH RD, STE 103",QUEEN CREEK,PINAL,85140,NO,,CHARTER,45,96%,4%,100%,93%,4%,100%,91%,7%,100%,96%,4%,100%,93%,7%,100%,96%,4%,100%,96%,4%,100%,9%,0%,4%
HAROLD W SMITH SCHOOL,6534 N 63RD AVE,GLENDALE,MARICOPA,85301,YES,LPN,PUBLIC,102,96%,0%,96%,100%,0%,100%,95%,0%,100%,98%,0%,98%,100%,0%,100%,99%,0%,99%,100%,0%,100%,0%,0%,0%
HARRIS ELEMENTARY SCHOOL,1820 S HARRIS DR,MESA,MARICOPA,85204,YES,RN,PUBLIC,64,97%,2%,100%,98%,2%,100%,97%,2%,98%,98%,2%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,5%,0%,0%
HARTFORD SYLVIA ENCINAS ELEMENTARY SCHOOL,700 N HARTFORD ST,CHANDLER,MARICOPA,85225,NO,,PUBLIC,87,100%,0%,100%,97%,2%,100%,97%,2%,100%,99%,1%,100%,100%,0%,100%,98%,1%,100%,100%,0%,100%,5%,1%,0%
HARVEST PREPARATORY ACADEMY,350 E 18TH ST,YUMA,YUMA,85364,NO,,CHARTER,83,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
HARVEST PREPARATORY ACADEMY - GOODYEAR,14900 W VAN BUREN ST,GOODYEAR,MARICOPA,85338,NO,,CHARTER,31,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,6%,0%,6%
"HARVEST PREPARATORY ACADEMY, SAN LUIS",1044 N 10TH AVE,SAN LUIS,YUMA,85349,NO,,CHARTER,69,100%,0%,100%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
HAVASU PREPARATORY ACADEMY PUBLIC CHARTER,3155 MARICOPA AVE,LAKE HAVASU CITY,MOHAVE,86406,NO,,CHARTER,33,100%,0%,100%,94%,3%,100%,94%,3%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,97%,0%,97%,3%,0%,0%
HAVASUPAI ELEMENTARY SCHOOL,880 CASHMERE DR,LAKE HAVASU CITY,MOHAVE,86404,YES,RN,PUBLIC,56,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
HAWTHORNE ELEMENTARY SCHOOL,630 N HUNT DR,MESA,MARICOPA,85203,YES,RN,PUBLIC,56,98%,2%,100%,98%,2%,100%,96%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,2%,0%,0%
HEARN ACADEMY,17606 NORTH 7TH AVENUE,PHOENIX,MARICOPA,85023,YES,RN,CHARTER,70,97%,3%,100%,97%,3%,100%,96%,3%,100%,96%,4%,100%,96%,4%,100%,100%,0%,100%,97%,3%,100%,7%,0%,3%
HEARTLAND RANCH ELEMENTARY SCHOOL,1667 W CAROLINE ST,COOLIDGE,PINAL,85128,YES,RN,PUBLIC,86,99%,1%,100%,94%,3%,100%,97%,3%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,98%,2%,100%,2%,1%,0%
HERITAGE ELEMENTARY - WILLIAMS,790 E RODEO RD,WILLIAMS,COCONINO,86046,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HERITAGE ELEMENTARY SCHOOL - EAST CAMPUS,6805 N 125TH AVE,GLENDALE,MARICOPA,85307,NO,,CHARTER,108,97%,2%,100%,95%,1%,97%,94%,1%,95%,97%,1%,100%,97%,1%,100%,95%,1%,100%,94%,1%,95%,1%,0%,1%
HERITAGE MIDDLE SCHOOL,1076 N RD 1 W,CHINO VALLEY,YAVAPAI,86323,YES,RN,PUBLIC,178,95%,5%,100%,75%,24%,100%,74%,25%,100%,91%,9%,100%,91%,9%,100%,93%,7%,100%,94%,6%,100%,25%,0%,2%
HERITAGE SCHOOL,5312 W MOUNTAIN VIEW RD,GLENDALE,MARICOPA,85302,YES,LPN,PUBLIC,77,96%,3%,99%,95%,3%,97%,94%,3%,96%,96%,3%,99%,96%,3%,99%,95%,5%,100%,97%,3%,100%,5%,0%,3%
HERMOSA MONTESSORI SCHOOL,12051 EAST FORT LOWELL,TUCSON,PIMA,85749,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HERMOSA VISTA ELEMENTARY SCHOOL,2626 N 24TH ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,92,98%,2%,100%,91%,8%,100%,91%,9%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,97%,3%,100%,11%,0%,2%
HIDDEN HILLS ELEMENTARY SCHOOL,1919 E SHARON DR,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,73,97%,1%,100%,96%,4%,100%,96%,4%,100%,99%,1%,100%,99%,1%,100%,97%,3%,100%,99%,1%,100%,5%,0%,5%
HIGHLAND ELEMENTARY SCHOOL,3042 E ADOBE ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,105,97%,3%,100%,93%,7%,100%,93%,7%,100%,96%,4%,100%,97%,3%,100%,96%,4%,100%,100%,0%,100%,10%,1%,2%
HIGHLAND LAKES SCHOOL,19000 N 63RD AVE,GLENDALE,MARICOPA,85308,YES,RN,PUBLIC,124,93%,7%,100%,90%,10%,100%,90%,10%,100%,93%,7%,100%,92%,8%,100%,94%,6%,100%,95%,5%,100%,9%,0%,5%
HOHOKAM ELEMENTARY SCHOOL,8451 E OAK ST,SCOTTSDALE,MARICOPA,85257,YES,RN,PUBLIC,44,100%,0%,100%,82%,0%,84%,80%,0%,82%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
HOLBROOK JUNIOR HIGH SCHOOL,412 W BUFFALO ST,HOLBROOK,NAVAJO,86025,YES,RN,PUBLIC,112,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,1%,1%
HOLLINGER ELEMENTARY SCHOOL,150 W AJO WAY,TUCSON,PIMA,85713,YES,RN,PUBLIC,67,100%,0%,100%,96%,0%,96%,96%,0%,96%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
HOLMES ELEMENTARY SCHOOL,948 S HORNE,MESA,MARICOPA,85204,YES,RN,PUBLIC,100,100%,0%,100%,97%,0%,97%,96%,0%,96%,100%,0%,100%,99%,0%,99%,100%,0%,100%,99%,0%,99%,0%,0%,0%
HOMER DAVIS ELEMENTARY SCHOOL,4250 N ROMERO RD,TUCSON,PIMA,85705,NO,,PUBLIC,71,94%,6%,100%,77%,6%,85%,79%,6%,86%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,6%,0%,6%
HOPE CHRISTIAN ACADEMY,1125 N DOBSON RD,CHANDLER,MARICOPA,85224,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HORIZON COMMUNITY LEARNING CENTER,16233 S 48TH ST,PHOENIX,MARICOPA,,NO,,CHARTER,127,98%,2%,100%,92%,6%,100%,91%,7%,100%,98%,2%,100%,95%,5%,100%,97%,3%,100%,96%,4%,100%,10%,0%,2%
HORIZON SCHOOL,8520 N 47TH AVE,GLENDALE,MARICOPA,85302,YES,RN,PUBLIC,107,94%,6%,100%,90%,10%,100%,89%,11%,100%,93%,7%,100%,93%,7%,100%,94%,6%,100%,100%,0%,100%,13%,0%,6%
HOUSTON ELEMENTARY SCHOOL,500 E HUSTON AVE,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,57,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
HUACHUCA CITY ELEMENTARY SCHOOL,100 SCHOOL DR,HUACHUCA CITY,COCHISE,85616,NO,,PUBLIC,40,98%,3%,100%,98%,3%,100%,98%,3%,100%,98%,3%,100%,98%,3%,100%,98%,3%,100%,98%,3%,100%,5%,0%,3%
HUACHUCA MOUNTAIN ELEMENTARY SCHOOL,3228 SAINT ANDREWS DR,SIERRA VISTA,COCHISE,85650,YES,RN,PUBLIC,85,100%,0%,100%,94%,2%,98%,94%,2%,98%,100%,0%,100%,99%,1%,100%,100%,0%,100%,99%,1%,100%,2%,0%,2%
HUMBOLDT ELEMENTARY SCHOOL,2750 S CORRAL ST,HUMBOLT,YAVAPAI,86329,YES,RN,PUBLIC,56,98%,2%,100%,95%,4%,98%,95%,4%,98%,98%,2%,100%,98%,2%,100%,96%,2%,98%,98%,2%,100%,2%,2%,2%
HURLEY RANCH ELEMENTARY,8950 W ILLINI ST,TOLLESON,MARICOPA,,NO,,PUBLIC,142,98%,2%,100%,98%,2%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,2%,0%,0%
IGNACIO CONCHOS ELEMENTARY SCHOOL,1718 W. VINEYARD RD,PHOENIX,MARICOPA,85041,YES,LPN,PUBLIC,45,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
IMAGINE CHARTER ELEMENTARY SCHOOL AT WEST GILBERT,2061 SOUTH GILBERT ROAD,GILBERT,MARICOPA,85295,NO,,CHARTER,32,94%,6%,100%,72%,6%,78%,72%,6%,78%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,0%,0%,6%
IMAGINE CHARTER SCHOOL AT BELL CANYON,18052 N BLACK CANYON HWY,PHOENIX,MARICOPA,85053,NO,,CHARTER,30,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
IMAGINE ELEMENTARY @ TEMPE,1538 EAST SOUTHERN AVENUE,TEMPE,MARICOPA,85282,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IMAGINE ELEMENTARY AT AVONDALE,950 N ELISIO C FELIX JR WAY,AVONDALE,MARICOPA,85053,NO,,CHARTER,82,91%,9%,100%,89%,9%,98%,89%,9%,98%,91%,9%,100%,91%,9%,100%,91%,9%,100%,91%,9%,100%,9%,0%,9%
IMAGINE MIDDLE AT COOLIDGE,1290 W VAH KI INN RD,COOLIDGE,PINAL,,NO,,CHARTER,122,84%,2%,100%,67%,3%,70%,70%,4%,75%,84%,2%,87%,84%,2%,87%,96%,4%,100%,93%,3%,97%,7%,7%,4%
IMAGINE MIDDLE AT DESERT WEST,6738 W MCDOWELL RD,PHOENIX,MARICOPA,,NO,,CHARTER,141,99%,1%,100%,99%,1%,100%,99%,0%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,0%
IMAGINE MIDDLE AT SUPERSTITION,1843 W 16TH AVE,APACHE JUNCTION,PINAL,85120,NO,,CHARTER,37,97%,3%,100%,97%,3%,100%,92%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
IMAGINE MIDDLE SCHOOL AT CORTEZ PARK,3535 W DUNLAP AVE,PHOENIX,MARICOPA,85051,NO,,CHARTER,94,99%,1%,100%,96%,1%,100%,96%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
IMAGINE MIDDLE SCHOOL AT SURPRISE,14850 N 156TH AVE,SURPRISE,MARICOPA,85379,NO,,CHARTER,129,80%,4%,84%,80%,4%,84%,80%,4%,84%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
IMAGO DEI MIDDLE SCHOOL,55 N 6TH AVE,TUCSON,PIMA,85701,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IMMACULATE CONCEPTION CATHOLIC SCHOOL,700 NORTH BILL GRAY ROAD,COTTONWOOD,YAVAPAI,86326,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IMMACULATE CONCEPTION PRESCHOOL,501 SOUTH AVENUE B,YUMA,YUMA,85364,NO,,PRIVATE,21,100%,0%,100%,90%,0%,100%,90%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
IMMACULATE HEART ACADEMY,410 E MAGEE RD,TUCSON,PIMA,85704,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
